blank,time-of-text,text-time,text,title,author
,7:22,7:22,"Gripping her gym bag in her right hand, Aomame, like Buzzcut, was waiting for something to happen. The clock display changed to 7:21, then 7:22, then 7:23.",1Q84,Haruki Murakami
,7:23,7:23,"Gripping her gym bag in her right hand, Aomame, like Buzzcut, was waiting for something to happen. The clock display changed to 7:21, then 7:22, then 7:23.",1Q84,Haruki Murakami
,19:21,7:21,"Gripping her gym bag in her right hand, Aomame, like Buzzcut, was waiting for something to happen. The clock display changed to 7:21, then 7:22, then 7:23.",1Q84,Haruki Murakami
,19:22,7:22,"Gripping her gym bag in her right hand, Aomame, like Buzzcut, was waiting for something to happen. The clock display changed to 7:21, then 7:22, then 7:23.",1Q84,Haruki Murakami
,19:23,7:23,"Gripping her gym bag in her right hand, Aomame, like Buzzcut, was waiting for something to happen. The clock display changed to 7:21, then 7:22, then 7:23.",1Q84,Haruki Murakami
,4:35,4.35,"The Voice shut itself off with a click, and then reopened conversation by announcing the arrival at Platform 9 of the 4.35 from Birmingham and Wolverhampton.",4.50 from Paddington,Agatha Christie
,16:35,4.35,"The Voice shut itself off with a click, and then reopened conversation by announcing the arrival at Platform 9 of the 4.35 from Birmingham and Wolverhampton.",4.50 from Paddington,Agatha Christie
,4:50,4.5,"""The train standing at Platform 3,"" the Voice told her, ""is the 4.50 for Brackhampton, Milchester, Waverton, Carvil Junction, Roxeter and stations to Chadmouth. Passengers for Brackhampton and Milchester travel at the rear of the train. Passengers for Vanequay change at Roxeter."" The voice shut itself off with a click,",4.50 from Paddington,Agatha Christie
,16:50,4.5,"""The train standing at Platform 3,"" the Voice told her, ""is the 4.50 for Brackhampton, Milchester, Waverton, Carvil Junction, Roxeter and stations to Chadmouth. Passengers for Brackhampton and Milchester travel at the rear of the train. Passengers for Vanequay change at Roxeter."" The voice shut itself off with a click,",4.50 from Paddington,Agatha Christie
,4:48,4:48,At 4:48/ the happy hour/ when clarity visits/ warm darkness / which soaks my eyes/ I know no sin/ this is the sickness of becoming great/ this vital need for which I would die/ to be loved,4:48 Psychosis,Sarah Kane
,0:55,Five to one in the morning,"He rolled one way, rolled the other, listened to the loud tick of the clock, and was asleep a minute later. Five to one in the morning. Fifty-one hours to go.",61 Hours,Lee Child
,14:40,twenty minutes to three,"There was nothing to do but keep on talking about the news of the day, wondering what Helene or my paredros were doing, what Juan and Tell were up to and where, all of that until twenty minutes to three so as not to arrive at the museum too early.",62: A Model Kit,Julio Cortazar
,21:35,9.35 p.m.,"The Sergeant jotted it down on a piece of paper. ""That checks up with his own story: 9.35 p.m. Budd leaves; the North dame arrives.""",A Blunt Instrument,Georgette Heyer
,14:06,six minutes past two in the afternoon,"A man driving a tractor saw her, four hundred yards from her house, six minutes past two in the afternoon.",A Change of Climate,Hilary Mantel
,0:58,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,0:59,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,1:09,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,1:01,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,1:02,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,6:15,quarter past six,"Father expected his shaving-water to be ready at a quarter past six. Just seven minutes late, Dorothy took the can upstairs and knocked at her father's door.",A Clergyman's Daughter,George Orwell
,12:58,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,12:59,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,13:00,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,13:01,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,13:02,about one o'clock,At about one o'clock the overseer arrived and told them he had no jobs for them.,A Clergyman's Daughter,George Orwell
,18:22,a quarter past six.,"Father expected his shaving-water to be ready at a quarter past six. Just seven minutes late, Dorothy took the can upstairs and knocked at her father's door.",A Clergyman's Daughter,George Orwell
,8:25,almost eight-thirty,"The lecture was to be given tomorrow, and it was now almost eight-thirty.",A Confederacy of Dunces,John Kennedy Toole
,8:26,almost eight-thirty,"The lecture was to be given tomorrow, and it was now almost eight-thirty.",A Confederacy of Dunces,John Kennedy Toole
,8:27,almost eight-thirty,"The lecture was to be given tomorrow, and it was now almost eight-thirty.",A Confederacy of Dunces,John Kennedy Toole
,8:28,almost eight-thirty,"The lecture was to be given tomorrow, and it was now almost eight-thirty.",A Confederacy of Dunces,John Kennedy Toole
,8:29,almost eight-thirty,"The lecture was to be given tomorrow, and it was now almost eight-thirty.",A Confederacy of Dunces,John Kennedy Toole
,9:00,nine o'clock,Look. Ignatius. I'm beat. I've been on the road since nine o'clock yesterday morning.',A Confederacy of Dunces,John Kennedy Toole
,9:00,nine o'clock,I could never get all the way down there before nine o'clock.,A Confederacy of Dunces,John Kennedy Toole
,21:00,nine o'clock,I could never get all the way down there before nine o'clock.,A Confederacy of Dunces,John Kennedy Toole
,14:00,two o'clock,"She could have fired the jig, and he could have kept on picking up his packages at the old time, two o'clock. As it was, he had almost been arrested.",A Confederacy of Dunces,John Kennedy Toole
,14:57,about three in the afternoon,"The sun was now setting. It was about three in the afternoon when Alisande had begun to tell me who the cowboys were; so she had made pretty good progress with it - for her. She would arrive some time or other, no doubt, but she was not a person who could be hurried.",A Connecticut Yankee in King Arthur's Court,Mark Twain
,14:58,about three in the afternoon,"The sun was now setting. It was about three in the afternoon when Alisande had begun to tell me who the cowboys were; so she had made pretty good progress with it - for her. She would arrive some time or other, no doubt, but she was not a person who could be hurried.",A Connecticut Yankee in King Arthur's Court,Mark Twain
,14:59,about three in the afternoon,"The sun was now setting. It was about three in the afternoon when Alisande had begun to tell me who the cowboys were; so she had made pretty good progress with it - for her. She would arrive some time or other, no doubt, but she was not a person who could be hurried.",A Connecticut Yankee in King Arthur's Court,Mark Twain
,15:00,about three in the afternoon,"The sun was now setting. It was about three in the afternoon when Alisande had begun to tell me who the cowboys were; so she had made pretty good progress with it - for her. She would arrive some time or other, no doubt, but she was not a person who could be hurried.",A Connecticut Yankee in King Arthur's Court,Mark Twain
,15:01,about three in the afternoon,"The sun was now setting. It was about three in the afternoon when Alisande had begun to tell me who the cowboys were; so she had made pretty good progress with it - for her. She would arrive some time or other, no doubt, but she was not a person who could be hurried.",A Connecticut Yankee in King Arthur's Court,Mark Twain
,15:02,about three in the afternoon,"The sun was now setting. It was about three in the afternoon when Alisande had begun to tell me who the cowboys were; so she had made pretty good progress with it - for her. She would arrive some time or other, no doubt, but she was not a person who could be hurried.",A Connecticut Yankee in King Arthur's Court,Mark Twain
,15:03,about three in the afternoon,"The sun was now setting. It was about three in the afternoon when Alisande had begun to tell me who the cowboys were; so she had made pretty good progress with it - for her. She would arrive some time or other, no doubt, but she was not a person who could be hurried.",A Connecticut Yankee in King Arthur's Court,Mark Twain
,14:05,five past two,"...and at five past two on 17 September of that same unforgettable year 1916, I was in the Muryovo hospital yard, standing on trampled withered grass, flattened by the September rain.",A Country Doctor's Notebook,Mikhail Bulgakov
,7:45,quarter to eight,"Mr. Green left for work at a quarter to eight, as he did every morning. He walked down his front steps carrying his empty-looking leatherette briefcase with the noisy silver clasps, opened his car door, and ducked his head to climb into the driver's seat.",A Crime in the Neighborhood,Suzanne Berne
,21:30,nine-thirty,"The light in Mr. Green's kitchen snapped off at nine-thirty, followed by the light in his bedroom at his usual ten o'clock. His house was the first on the street to go dark.",A Crime in The Neighborhood,Suzanne Berne
,22:00,ten o'clock,"The light in Mr. Green's kitchen snapped off at nine-thirty, followed by the light in his bedroom at his usual ten o'clock. His house was the first on the street to go dark.",A Crime in the Neighborhood,Suzanne Berne
,3:50,ten or five to four in the morning,The first was recorded at ten or five to four in the morning.,A Death in Brazil: A Book of Omissions,Peter Robb
,3:55,five to four in the morning,The first was recorded at ten or five to four in the morning.,A Death in Brazil: A Book of Omissions,Peter Robb
,4:57,a few minutes before five,"The second said the same thing a few minutes before five, and mentioned eternity... I'm sure I'll meet you in the other world.",A Death in Brazil: A Book of Omissions,Peter Robb
,4:58,a few minutes before five,"The second said the same thing a few minutes before five, and mentioned eternity... I'm sure I'll meet you in the other world.",A Death in Brazil: A Book of Omissions,Peter Robb
,4:56,a few minutes before five,"The second said the same thing a few minutes before five, and mentioned eternity... I'm sure I'll meet you in the other world.",A Death in Brazil: A Book of Omissions,Peter Robb
,4:55,a few minutes before five,"The second said the same thing a few minutes before five, and mentioned eternity... I'm sure I'll meet you in the other world.",A Death in Brazil: A Book of Omissions,Peter Robb
,0:54,six minutes to one,"...songs, anecdotes, and more drinks followed, and the pregnant minutes flew. At six minutes to one, when the jollity was at its highest- BOOM! There was silence instantly.",A Double Barrelled Detective Story,Mark Twain
,12:54,six minutes to one,"...songs, anecdotes, and more drinks followed, and the pregnant minutes flew. At six minutes to one, when the jollity was at its highest- BOOM! There was silence instantly.",A Double Barrelled Detective Story,Mark Twain
,5:23,Five twenty-three,"""I was wondering if we could meet for a drink."" ""What for?"" ""Just for a chat. Do you know the Royal batsman, near Central Station? We could meet tomorrow at five?"" ""Five twenty-three,"" I said, to exert some control over the situation.",A Fraction of the Whole,Steve Toltz
,7:12,7:12,"He taught me that if I had to meet someone for an appointment, I must refuse to follow the 'stupid human habit' of arbitrarily choosing a time based on fifteen-minute intervals. 'Never meet people at 7:45 or 6:30, Jasper, but pick times like 7:12 and 8:03!'",A Fraction of the Whole,Steve Toltz
,8:03,8:03,"He taught me that if I had to meet someone for an appointment, I must refuse to follow the 'stupid human habit' of arbitrarily choosing a time based on fifteen-minute intervals. 'Never meet people at 7:45 or 6:30, Jasper, but pick times like 7:12 and 8:03!'",A Fraction of the Whole,Steve Toltz
,17:23,Five twenty-three,"""I was wondering if we could meet for a drink."" ""What for?"" ""Just for a chat. Do you know the Royal batsman, near Central Station? We could meet tomorrow at five?"" ""Five twenty-three,"" I said, to exert some control over the situation.",A Fraction of the Whole,Steve Toltz
,19:12,7:12,"He taught me that if I had to meet someone for an appointment, I must refuse to follow the 'stupid human habit' of arbitrarily choosing a time based on fifteen-minute intervals. 'Never meet people at 7:45 or 6:30, Jasper, but pick times like 7:12 and 8:03!'",A Fraction of the Whole,Steve Toltz
,19:45,8:03,"He taught me that if I had to meet someone for an appointment, I must refuse to follow the 'stupid human habit' of arbitrarily choosing a time based on fifteen-minute intervals. 'Never meet people at 7:45 or 6:30, Jasper, but pick times like 7:12 and 8:03!'",A Fraction of the Whole,Steve Toltz
,18:04,five past six,At about five past six Piers came in carrying an evening paper and a few books.,A Glass of Blessings,Barbara Pym
,18:05,five past six,At about five past six Piers came in carrying an evening paper and a few books.,A Glass of Blessings,Barbara Pym
,18:06,five past six,At about five past six Piers came in carrying an evening paper and a few books.,A Glass of Blessings,Barbara Pym
,6:15,Quarter past six,"Quarter past six,' said Tony. 'He's bound to have told her by now.'",A Handful of Dust,Evelyn Waugh
,18:15,Quarter past six,"Quarter past six,' said Tony. 'He's bound to have told her by now.'",A Handful of Dust,Evelyn Waugh
,20:45,quarter to nine,Beaver arrived at quarter to nine in a state of high self-approval; he had refused two invitations for dinner while dressing that evening; he had cashed a cheque for ten pounds at his club; he had booked a Divan table at Espinosa's.,A Handful of Dust,Evelyn Waugh
,8:17,8.17 a.m.,"He consulted his instruments, and recorded: ""Monday, July 1. Chronometer, 8.17 a.m.; barometer, 297 in.; thermometer, 6* (43* F.). Direction, E.S.E.""",A Journey to the Centre of the Earth,Jules Verne
,12:25,12.25pm.,12.25pm. 26. 27. Every time Billy saved a shot he looked heartbroken,A Kestrel For a Knave,Barry Hines
,12:26,12.25pm. 26.,12.25pm. 26. 27. Every time Billy saved a shot he looked heartbroken,A Kestrel For a Knave,Barry Hines
,12:27,12.25pm. 26. 27.,12.25pm. 26. 27. Every time Billy saved a shot he looked heartbroken,A Kestrel For a Knave,Barry Hines
,6:25,twenty-five past six,"At twenty-five past six I go into the bathroom and have a wash, then while the Old Lady's busy in the kitchen helping Chris with the washing up I get my coat and nip out down the stairs.",A Kind of Loving,Stan Barstow
,18:25,twenty-five past six,"At twenty-five past six I go into the bathroom and have a wash, then while the Old Lady's busy in the kitchen helping Chris with the washing up I get my coat and nip out down the stairs.",A Kind of Loving,Stan Barstow
,0:55,Five to one,The inspector glanced at the clock. Five to one. A busy morning.,A Man Lay Dead,Ngaio Marsh
,1:05,five past one,"At five past one Alleyn opened the outer door, knocked his pipe out on the edge of the stone step,and remained staring out on to the drive.",A Man Lay Dead,Ngaio Marsh
,7:54,six minutes to eight,The body was found at six minutes to eight. Doctor Young arrived some thirty minutes later. Just let me get that clear - I've a filthy memory.,A Man Lay Dead,Ngaio Marsh
,13:05,five past one,"At five past one Alleyn opened the outer door, knocked his pipe out on the edge of the stone step,and remained staring out on to the drive.",A Man Lay Dead,Ngaio Marsh
,13:15,One-fifteen,"""Where are the ladies and Gentlemen?"" asked Aleyn. ""Sir, in the garding,"" said Bunce. ""What time's lunch?"" ""One-fifteen"".",A Man Lay Dead,Ngaio Marsh
,17:25,twenty-five minutes past five,"""Now"" said Handsley, when Angela had poured out the last cup, ""it's twenty-five minutes past five, At half-past the Murder game is on""",A Man Lay Dead,Ngaio Marsh
,19:54,six minutes to eight,The body was found at six minutes to eight. Doctor Young arrived some thirty minutes later. Just let me get that clear - I've a filthy memory.,A Man Lay Dead,Ngaio Marsh
,9:00,nine o'clock,"On the stroke of nine o'clock Mr. and Mrs. De Voted took their places on either side of the drawing-room fire, in attitudes of gracefully combined hospitality and unconcern, Vivian De Voted wearing a black beard and black velvet jacket buttoned over his Bohemian bosom, his lady in a flowing purple gown embroidered in divers appropriate places with pomegranates and their leaves.",A Marriage of Passion,Katherine Mansfield
,21:00,nine o'clock,"On the stroke of nine o'clock Mr. and Mrs. De Voted took their places on either side of the drawing-room fire, in attitudes of gracefully combined hospitality and unconcern, Vivian De Voted wearing a black beard and black velvet jacket buttoned over his Bohemian bosom, his lady in a flowing purple gown embroidered in divers appropriate places with pomegranates and their leaves.",A Marriage of Passion,Katherine Mansfield
,13:58,about two o'clock,"The next day was Saturday and, now that Moon was done, I decided to bring the job to its end. So I sent word that I shouldn't be able to umpire for the team at Steeple Sinderby and, after working through the morning, came down about two o'clock.",A Month in the Country,J. L. Carr
,13:59,about two o'clock,"The next day was Saturday and, now that Moon was done, I decided to bring the job to its end. So I sent word that I shouldn't be able to umpire for the team at Steeple Sinderby and, after working through the morning, came down about two o'clock.",A Month in the Country,J. L. Carr
,14:00,about two o'clock,"The next day was Saturday and, now that Moon was done, I decided to bring the job to its end. So I sent word that I shouldn't be able to umpire for the team at Steeple Sinderby and, after working through the morning, came down about two o'clock.",A Month in the Country,J. L. Carr
,14:01,about two o'clock,"The next day was Saturday and, now that Moon was done, I decided to bring the job to its end. So I sent word that I shouldn't be able to umpire for the team at Steeple Sinderby and, after working through the morning, came down about two o'clock.",A Month in the Country,J. L. Carr
,14:02,about two o'clock,"The next day was Saturday and, now that Moon was done, I decided to bring the job to its end. So I sent word that I shouldn't be able to umpire for the team at Steeple Sinderby and, after working through the morning, came down about two o'clock.",A Month in the Country,J. L. Carr
,1:23,twenty-three minutes past one,"The clock marked twenty-three minutes past one. He was suddenly full of agitation, yet hopeful. She had come! Who could tell what she would say?",A Mummer's Tale,Anatole France
,13:23,twenty-three minutes past one,"The clock marked twenty-three minutes past one. He was suddenly full of agitation, yet hopeful.",A Mummer's Tale,Anatole France
,23:12,23:12 hours,There was a confirmatory identification done by undercover officer 6475 at 23:12 hours at the corner of 147th and Amsterdam.,A Naked Singularity,Sergio De La Pava
,0:00,midnight,"Tis the year's midnight, and it is the day's, Lucy's, who scarce seven hours herself unmasks; The sun is spent, and now his flasks Send forth light squibs, no constant rays…",A Nocturnal upon St. Lucy's Day,John Donne
,19:53,7.53 p.m.,"Wednesday, 11 th December 1963. 7.53 p.m. 'Help me. You've got to help me.' The woman's voice quavered on the edge of tears. The duty constable who had picked up the phone heard a hiccuping gulp, as if the caller was struggling to speak.",A Place of Execution,Val McDermid
,0:43,Twelve-forty-three,"Died five minutes ago, you say? he asked. His eye went to the watch on his wrist. Twelve-forty-three, he wrote on the blotter.",A Pocket Full of Rye,Agatha Christie
,12:43,Twelve-forty-three,"Died five minutes ago, you say? he asked. His eye went to the watch on his wrist. Twelve-forty-three, he wrote on the blotter.",A Pocket Full of Rye,Agatha Christie
,10:20,The right time now is twenty past ten,"His mother straightened the battered alarm clock that was lying on its side in the middle of the mantelpiece until its dial showed a quarter to twelve and then laid it once more on its side. -- An hour and twenty-five minutes, she said. The right time now is twenty past ten. The dear knows you might try to be in time for your lectures.",A Portrait of the Artist as a Young Man,James Joyce
,16:17,four-seventeen,"Apparently the great Percy has no sense of humour, for at four-seventeen he got tired of it, and hit Skinner crisply in the right eyeball, blacking the same as per illustration. The subsequent fight raged gorily for five minutes odd, and then Wilson, who seems to be a professional pugilist in disguise, landed what my informant describes as three corkers on his opponent's proboscis. Skinner's reply was to sit down heavily on the floor, and give him to understand that the fight was over, and that for the next day or two his face would be closed for alterations and repairs.",A Prefect's Uncle,P. G. Wodehouse
,4:14,4:14 a.m.,"At 4:14 a.m., the two men returned to the Jeep. After the passenger replaced the cans in the back of the Jeep, the driver backed out of the driveway and headed east.",A Real Nightmare,David H. Swendsen
,3:00,three o'clock,"At three o'clock precisely I was at Baker Street, but Holmes had not yet returned.",A Scandal in Bohemia,Sir Arthur Conan Doyle
,15:00,three o'clock,"At three o'clock precisely I was at Baker Street, but Holmes had not yet returned.",A Scandal in Bohemia,Sir Arthur Conan Doyle
,4:00,4 A.M.,"If you imagine the 4,500-billion-odd years of Earth’s history compressed into a normal earthly day, then life begins very early, about 4 A.M., with the rise of the first simple, single-celled organisms, but then advances no further for the next sixteen hours.",A Short History of Nearly Everything,Bill Bryson
,20:27,almost 8:30 in the evening,"Not until almost 8:30 in the evening, with the day five-sixths over, has Earth anything to show the universe but a restless skin of microbes. Then, finally, the first sea plants appear, followed twenty minutes later by the first jellyfish and the enigmatic Ediacaran fauna first seen by Reginald Sprigg in Australia.",A Short History of Nearly Everything,Bill Bryson
,20:28,almost 8:30 in the evening,"Not until almost 8:30 in the evening, with the day five-sixths over, has Earth anything to show the universe but a restless skin of microbes. Then, finally, the first sea plants appear, followed twenty minutes later by the first jellyfish and the enigmatic Ediacaran fauna first seen by Reginald Sprigg in Australia.",A Short History of Nearly Everything,Bill Bryson
,20:28,almost 8:30 in the evening,"Not until almost 8:30 in the evening, with the day five-sixths over, has Earth anything to show the universe but a restless skin of microbes. Then, finally, the first sea plants appear, followed twenty minutes later by the first jellyfish and the enigmatic Ediacaran fauna first seen by Reginald Sprigg in Australia.",A Short History of Nearly Everything,Bill Bryson
,21:04,9:04P.M.,"At 9:04P.M. trilobites swim onto the scene, followed more or less immediately by the shapely creatures of the Burgess Shale.",A Short History of Nearly Everything,Bill Bryson
,21:58,Just before 10P.M.,"Just before 10P.M. plants begin to pop up on the land. Soon after, with less than two hours left in the day, the first land creatures follow. ",A Short History of Nearly Everything,Bill Bryson
,21:59,Just before 10P.M.,"Just before 10P.M. plants begin to pop up on the land. Soon after, with less than two hours left in the day, the first land creatures follow. ",A Short History of Nearly Everything,Bill Bryson
,22:24,10:24,"Thanks to ten minutes or so of balmy weather, by 10:24 the Earth is covered in the great carboniferous forests whose residues give us all our coal, and the first winged insects are evident.",A Short History of Nearly Everything,Bill Bryson
,22:59,just before 11P.M.,Dinosaurs plod onto the scene just before 11P.M. and hold sway for about three quarters of an hour.,A Short History of Nearly Everything,Bill Bryson
,23:39,twenty-one minutes to midnight,Dinosaurs plod onto the scene just before 11P.M. and hold sway for about three quarters of an hour. At twenty-one minutes to midnight they vanish and the age of mammals begins.,A Short History of Nearly Everything,Bill Bryson
,23:58,one minute and seventeen seconds before midnight,"Humans emerge one minute and seventeen seconds before midnight. The whole of our recorded history, on this scale, would be no more than a few seconds, a single human lifetime barely an instant.",A Short History of Nearly Everything,Bill Bryson
,23:59,one minute and seventeen seconds before midnight,"Humans emerge one minute and seventeen seconds before midnight. The whole of our recorded history, on this scale, would be no more than a few seconds, a single human lifetime barely an instant.",A Short History of Nearly Everything,Bill Bryson
,20:00,he stroke of eight,"So here I'll watch the night and wait To see the morning shine, When he will hear the stroke of eight And not the stroke of nine; And wish my friend as sound asleep As lads' I did not know, That shepherded the moonlit sheep A hundred years ago.",A Shropshire Lad,A. E. Housman
,21:00,the stroke of nine,"So here I'll watch the night and wait To see the morning shine, When he will hear the stroke of eight And not the stroke of nine; And wish my friend as sound asleep As lads' I did not know, That shepherded the moonlit sheep A hundred years ago.",A Shropshire Lad,A. E. Housman
,19:30,7.30 on the evening,"The telephone call came at 7.30 on the evening of March 18th, a Saturday, the eve of the noisy, colourful festival that the town held in honour of Saint Joseph the carpenter…",A Simple Story,Leonardo Sciascia
,13:57,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,13:58,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,13:59,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,14:00,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,14:00,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,14:01,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,14:02,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,14:03,about two o' clock,"At about two o' clock the owners young wife came, carrying a handleless cup and a pot with a quilted cover, to where I was still lying disconsolate.  She poured me some tea without speaking; she looked at my face openly, but she seemed afraid of me.  She went back to her husband and their game went on.",A Single Pebble,John Hershey
,16:56,nearly five in the evening,"It was nearly five in the evening when the cook came aboard. He did not have the cabbages.  He did have, in one hand, holding them upside down by their bound legs, four live chickens, and in his other hand he had a big jug of vegetable oil.",A Single Pebble,John Hershey
,16:57,nearly five in the evening,"It was nearly five in the evening when the cook came aboard. He did not have the cabbages.  He did have, in one hand, holding them upside down by their bound legs, four live chickens, and in his other hand he had a big jug of vegetable oil.",A Single Pebble,John Hershey
,16:58,nearly five in the evening,"It was nearly five in the evening when the cook came aboard. He did not have the cabbages.  He did have, in one hand, holding them upside down by their bound legs, four live chickens, and in his other hand he had a big jug of vegetable oil.",A Single Pebble,John Hershey
,16:59,nearly five in the evening,"It was nearly five in the evening when the cook came aboard. He did not have the cabbages.  He did have, in one hand, holding them upside down by their bound legs, four live chickens, and in his other hand he had a big jug of vegetable oil.",A Single Pebble,John Hershey
,17:00,five in the evening,"It was nearly five in the evening when the cook came aboard. He did not have the cabbages.  He did have, in one hand, holding them upside down by their bound legs, four live chickens, and in his other hand he had a big jug of vegetable oil.",A Single Pebble,John Hershey
,12:00,12.00 pm,"That a man who could hardly see anything more than two feet away from him could be employed as a security guard suggested to me that our job was not to secure anything but to report for work every night, fill the bulky ledger with cryptic remarks like 'Patrolled perimeter 12.00 pm, No Incident' and go to the office every fortnight for our wages and listen to the talkative Ms Elgassier.  Our only real challenge was surviving boredom.",A Squatter's Tale,Ike Oguine
,0:40,twenty to one,"Around us are Rovers and Austins afar, Above us the intimate roof of the car, And here on my right is the girl of my choice, With the tilt of her nose and the chime of her voice. And the scent of her wrap, and the words never said, And the ominous dancing ahead. We sat in the car park till twenty to one And now I'm engaged to Miss Joan Hunter Dunn.",A Subaltern's Love Song,John Betjeman
,12:40,twenty to one,"Around us are Rovers and Austins afar, Above us the intimate roof of the car, And here on my right is the girl of my choice, With the tilt of her nose and the chime of her voice. And the scent of her wrap, and the words never said, And the ominous dancing ahead. We sat in the car park till twenty to one And now I'm engaged to Miss Joan Hunter Dunn.",A Subaltern's Love Song,John Betjeman
,2:33,Two-thirty-three,"It was two-thirty-four, well. Two-thirty-three and nothing had happened. Suppose he got a room call, or the elevator night-bell rang, now.",A Swell-looking Babe,Jim Thompson
,2:34,two-thirty-four,"It was two-thirty-four, well. Two-thirty-three and nothing had happened. Suppose he got a room call, or the elevator night-bell rang, now.",A Swell-looking Babe,Jim Thompson
